word,derivation
आदितेय,['अदितेः अपत्यम् । `स्त्रीभ्यो ढक्  इत्यनेन ढक् प्रत्यये एयादेशे']
आदितेय,['आदितेयः इति रूपम् ।']
दिविषद्,['इति रूपम् ।']
दिविषद्,"['क्विप्  इत्यनेन क्विपि, हृद्\u200cद्युभ्यां च  इति वार्तिकेन सप्तम्या अलुकि दिविषद्']"
दिविषद्,['दिवि पूर्व `षद्लृ धातोः   सत्सूद्विषद्रुहदुहयुजविदभिदच्छिदजि नीराजामुपसर्गे।़पि']
आदित्य,[' यस्येति च   6 4 148  इत्यनेन अन्तिम इकारलोपे `आदित्य  इति रूपं सिध्यति ।']
आदित्य,"['अदितिशब्दात् अपत्यार्थे,  दित्यदित्यादित्यपत्युत्तरपदाण्यः   4 1 85']"
आदित्य,"['इत्यनेन `ण्य  प्रत्यये, `तद्धितेष्वचामादेः   7 2 117  इत्यनेन आदिवृद्धौ,']"
आदित्य,[' अदिति  इति शब्दात्  दित्यदित्यादित्यपत्युत्तरपदाण्ण्यः  4 1 85  इति']
आदित्य,['आदिवृद्धौ  आदित्यः  इति रूपम् ।']
आदित्य,['सूत्रेण  ण्राः प्रत्यये  तद्धितेष्वचामादेः  7 2 117  इति सूत्रेण']
ऋभु,['इति रूपं सिध्यति ।']
ऋभु,"['उपसंख्यानं   वा. 3 2 180  इत्यनेन वार्तिकेन `डु  प्रत्यये प्राप्ते, `ऋभु']"
ऋभु,['ऋ शब्दस्य स्वर्गवाचकत्वात्  स्वरादिनिपातमव्ययम्   2 2 37  इत्यनेन']
ऋभु,['सूत्रेण अव्ययसंज्ञा भवति । ऋ  स्वर्गे  भवति  ऋ+भू  इति स्थितौ  मितद्र्वादिभ्य']
अस्वप्न,['अस्वप्नः इति रूपं सिध्यति ।']
अस्वप्न,['न स्वप्नः इति स्थिते  नञस्तत्पुरुषात्   5 4 71  इत्यनेन सूत्रेण नञ्समासे']
अमर्त्य,[' नञ्\u200cतत्पुरुषात्   5 4 72  इत्यनेन सूत्रेण अमर्त्य इति रूपं सिध्यति ।']
अमर्त्य,"[' वा.5 4 36  इत्यनेन स्वार्थे `यत्  प्रत्यये मर्त्य इति रूपं, न मर्त्य इति स्थिते,']"
अमर्त्य,['तत्र भवाः अपि उपचारान्मर्ता । अनेन मर्त इति विद्यमाने  नवसूरमर्तयविष्ठेभ्यो यत्']
अमर्त्य,['हसिमृग्रिवामिदमिलूपूधुर्विभ्यस्तन  उ.3 86  इत्यनेन उणादि सूत्रानुसारं']
क्रतुभुज्,['अभ्यवहारार्थक भुज् धातोः `क्विप् च   3 2 76  इत्यनेन सूत्रेण क्विप्']
क्रतुभुज्,['प्रत्यये भुक् इति भवति । क्रतौ भुङ्ते इति `क्रतुभुक्  इति रूपं सिध्यति ।']
गीर्वाण,"['गीः वान यस्य इतिस्थिते  पूर्वपदात्संज्ञायामगः  8 2 3  इत्यनेन सूत्रेण णत्वे,']"
गीर्वाण,['घीर्वाण इति रूपं सिध्यति ।']
गीर्वाण,"['याचनार्थक वन धोतोः कर्मण्यण्  3 2 1  इत्यनेन सूत्रेण अण् प्रत्यये,']"
गीर्वाण,"['वणक्कणार्थक वण् धातोः कर्मण्यम्  3 2 1  इत्यनेन सूत्रेम अण् प्रत्यये, गीः']"
गीर्वाण,['वाणः यस्य सः गीर्वाणः इति रूपं भवति ।']
दानवारि,['दानवानां अरिः इति विग्रह वाक्ये `षष्टी   2 2 8  इत्यनेन तत्पुरुष']
दानवारि,['समासत्वात् दानवारिः इति रूपं भवति ।']
वृन्दारक,['इत्यनेन वार्तिकेन `बृन्दारक  इति रूपं सिध्यति ।']
वृन्दारक,['शोभनं प्रशस्तं वृन्दं यस्य इति स्थिते  शृङ्गवृन्दभ्यामारकन्   वा. 5 2 120']
दैवत,"['इति स्थिते, ततः  प्रज्ञाभ्यश्च   5 4 38  इत्यनेन सूत्रेण स्वार्थे अण्']"
दैवत,"['देव शब्दात्, देवालल्  5 4 27  इत्यनेन सूत्रेण स्वार्थे तल् प्रत्यये,']"
दैवत,"['प्रत्यये, आदिवृद्धौच तद्धितेष्वचामादेः इत्यनेन  7 2 117  दैवत इति रूपं सिध्यति .']"
देवता,"['देवशब्दात्  देवालल्   5 4 27  इत्यनेन सूत्रेण तल् प्रत्यये, देवता इति रूपं सिध्यति ।']"
विश्व,['विष र्कवेषने इति धातोः अशूप्रुषि  लटि कणि कटि विशिभ्यः क्कन्  इत्यनेन']
विश्व,['सूत्रेण क्कन् प्रत्यये विहत इति रूपं ।']
वसु,[' उ 1 20  इत्यनेन सूत्रेण उः प्राप्ते वसुः इति रूपं सिध्यति ।']
वसु,['`वस निवासे  इति धातोः  शृस्वृस्निहित्र्यप्यसिवासिहनिक्लिदिबन्धिमानिभ्यश्च']
तुषित,['तुषतुष्टौ इति धातोः  रुचिवाचिकुचिकुटिभ्यः कितच्   उ.4 286  इत्यनेन']
तुषित,['सूत्रेण  कितच्  प्रत्यये तुषित इति रूपं सिध्यति ।']
अनिल,['`अन प्राणने  इति धातोः  सलिकल्यनिमहिभण्डिमण्डिशण्डिपिण्डितुण्डिकुकिभूभ्य']
अनिल,['इलच्   उ. 2 54  इत्यनेन सूत्रेण इलच् प्रत्यये अनिल इति रूपं सिध्यति ।']
अनिल,"[' उ.1 54  इत्यनेन सूत्रेण `इलच्  प्रत्यये, अनिल इति रूपं सिध्यति ।']"
अनिल,['`अन्  धातोः `सलिकल्यनिमहिभडिभण्डिशण्डिपिण्डितुण्डिकुकिभूभ्यइलच्']
महाराजिक,['प्रत्यये महाराजिकः इति रूपं सिध्यति । ठस्येकः इत्यनेन इकेदेशे आदिवृहाँ ।']
महाराजिक,['महतो राजिः पङ्क्तिः यस्य इति स्थिते शेषाद्विभाषा  5 4 254  इत्यनेन ठञ्']
साध्य,['`साध संसिद्धौ  इति धातोः   `ऋहलोर्ण्यत्   3 2 124  इत्यनेन सूत्रेण']
साध्य,"['भावे, ण्यत् प्रत्यये, रूपं अर्श आदिभ्यो।़च्  5 2 127  इत्यनेन अच् प्रत्यये च']"
साध्य,['साध्य इति रूपं सिध्यति ।']
रुद्र,"['रक्, णेश्च लुक् प्राप्ते, रुद्र इति रूपं सिध्यति ।']"
रुद्र,['रुदिर् अश्रुविमोचने इति धातोः  रोदोर्णिलुक्\u200cच  उ. 2 22  इत्यनेन सूत्रेण']
रुद्र,"['`रुदिर् रोदने  इति धातोः,  रोदिर्णिलुक् च   उ. 2 22  इत्यनेन  उणादि']"
रुद्र,"['सूत्रेण `रक्  प्रत्यये, `रुद्र  इति रूपं भवति ।']"
विद्याधर,['धरो धारकः   विद्याधरः ।']
विद्याधर,['भिन्न लिङ्गत्वात् अग्रे अनभिधानात् असमासः । विद्याया गुटिकाञ्जनादि विषयिन्य']
अप्सरस्,['अद्भ्यः सरति इति स्थिते  सरतेरसुन्   उ. 4 237  इत्यनेन सूत्रेण असुन्']
अप्सरस्,['प्रत्यये अप्सरस् इति रूपं सिध्यति ।']
अप्सरस्,"['अद्भ्यः सरन्तीति विग्रहे, अप् उपपदपूर्वक सृ धातोः `सरतेरसुन्   उ.4 237']"
अप्सरस्,"['इत्यनेन सूत्रेण असुन् प्रत्यये, सार्वधातुकार्धधातुकयोः  7 2 84  इत्यनेन सूत्रेण']"
अप्सरस्,['वृद्धौ च अप्सरस् इति रूपं सिध्यति ।']
यक्ष,['कर्मणि घञ् प्रत्यये यक्ष इति रूपं भवति ।']
यक्ष,['पूजार्थक धातोः  अकर्तरि च कारके संज्ञायां   3 3 19  इत्यनेन सूत्रेण']
यक्ष,['`यक्ष पूजायां  इति धातोः  अकर्तरि च कारके असंज्ञायां   3 3 19  इत्यनेन']
यक्ष,['`यक्ष पूजायां  इति धातोः  पुंसिसंज्ञायां घः प्रायेण   3 3 118  इत्यनेन']
यक्ष,['सूत्रेण घः प्रत्यये यक्ष इति रूपं भवति ।']
यक्ष,['सूत्रेण घञ् प्रत्यये यक्ष इति रूपं भवति ।']
रक्षस्,['`असुन्  प्रत्यये `रक्षस्  इति रूपं सिध्यति ।']
रक्षस्,['पालनार्थक रक्ष् धातोः  सर्वधातुभ्यो।़सुन्   उ. 4 189  इत्यनेन सूत्रेण']
रक्षस्,['`रक्षस्  इति रूपं सिध्यति ।']
रक्षस्,['इत्यनेन सूत्रेण अच् प्रत्यये `रक्ष  इति रूपं भवति ।']
रक्षस्,['इत्यनेन सूत्रेण अपादानार्थात् `नन्दिग्राहिपचादिभ्योल्युणिन्यचः   3 1 134']
रक्षस्,['रक्षति अस्मात् इत्यस्मिन्नर्थे रक्ष् धातोः `भीमादयो।़पादाने   3 4 74']
रक्षस्,"['रक्ष् धातोः `सर्वधातुब्यो।़सुन्   उ.189  इत्यनेन सूत्रेण असुन् प्रत्यये,']"
गन्धर्व,"['अण् प्रत्यये, गन्ध अर्व इति स्थिते  शकन्ध्वादिषु पररूपं वाज्यं   वा. 6 2 94']"
गन्धर्व,['इत्यनेन पररूपे गन्धर्व इति रूपं सिध्यति ।']
गन्धर्व,"['गन्ध शब्दात् अर्व गतौ इति धात्वर्थे, `कर्मण्यण्   3 2 1  इत्यनेन सूत्रेण']"
किन्नर,['किम् नरः अथवा कुत्सितो नरः इति स्थिते  किंक्षेपे   2 1 64  इत्यनेन']
किन्नर,['तत्पुरुष समास सूत्रेण किन्नर इति रूपं सिध्यति ।']
किन्नर,['किंञ्चित् उपपदपूर्वक नर शब्दात् `किम्\u200cक्षेपे   2 1 64  इत्यनेन सूत्रेण']
किन्नर,['समासत्वात् किन्नर इति रूपं भवति ।']
पिशाच,[' पृषोदरदीनि यथोपदिष्टम्   6 3 109  इत्यनेन सूत्रेण पिशाच इति शब्दः']
पिशाच,['निपातितः ।']
गुह्यक,[' गुहू संवरणे  इति धात्वर्थे  ण्वुल तृचौ   3 2 133  इत्यनेन सूत्रेण']
गुह्यक,['अतोनुपसर्गः कः  3 2 3  इत्यनेन सूत्रेण क्यप् प्रत्यये च गुह्यक इति रूपं']
गुह्यक,"['कर्मणि `ण्वुल्  प्रत्यये, अकादेको पृषोदादीनि यथोपदिष्टम्    6 3 109  इत्यनेन']"
गुह्यक,['सिध्यति । शंसिदृहिग्रहिश्चो वा  वा.3 1 109']
गुह्यक,['सूत्रेण यगागमे गुह्यक ।']
सिद्ध,['सिद्धि शब्दात् `अर्श आदिभ्यो।़च्   5 2 27  ।']
भूत,['इष्टं प्राप्नोति इति']
भूत,['प्रत्यये `भूत  इति रूपं सिध्यति ।']
भूत,['रुहजीर्यतिभ्यश्च  3 4 72  इत्यनेन क्त प्रत्यये भूत इति रूपं सिध्यति ।']
भूत,['सत्त्थार्थक धातोः  अर्श आदिभ्यो।़च्   5 2 27  इत्यनेन सूत्रेण अच्']
असुर,['`असु क्षेपणे  इति धातोः   असेरुरन्   उ.1 42  इत्यनेन सूत्रेण उरन्']
असुर,['प्रत्यये `नञ्  असुर इति रूपम् ।']
दैत्य,"['इत्यनेन सूत्रेण `ण्य  प्रत्यये, तद्धितेष्वचामादेः  7 2 117  इत्यनेन आदिवृद्धौ,']"
दैत्य,['दिति शब्दात् अपत्यार्थे `दित्यदित्यादित्यपत्युत्तरपदाण्यः  4 2 85']
दैत्य,['यस्येति च  6 4 148  इत्यनेन अन्तिमइकारलोपे  दैत्य: इति रूपं सिध्यति ।']
दैतेय,[' स्त्रीभ्यो ढक्   4 2 120  इत्यनेन सूत्रेण ढक् प्रत्यये आयेनेयीनीयियः कढरव']
दैतेय,['छधां प्रत्ययादीनाम् । एयादेशे इति दैतेय इति रूपं सिध्यति ।']
दनुज,[' 3 2 97  इत्यनेन सूत्रेण `ड  प्रत्यये `दनुजः  इति रूपं सिध्यति ।']
दनुज,['दनोर्जातः इत्यस्मिन् उपपदे जनीप्रादुर्भावे धातोः दनु  पञ्चम्यामजातौ']
दानव,['गुणे `दानव  इति रूपं सिध्यति ।']
दानव,['तद्धितेष्वचामादेः  8 2 117  इत्यनेन आदिवृद्धौ सार्वधातुकार्धधातुक्योः इत्यनेने']
दानव,"['दनोः अपत्यं इति अर्थे `तस्यापत्यं   4 1 92  इत्यनेन सूत्रेण अण् प्रत्यये,']"
पूर्वदेव,[' 2 2 58  इत्यनेन सूत्रेण  तत्पुरुष  समासत्वात् पूर्वदेः इति रूपं सिध्यति ।']
पूर्वदेव,['`पूर्वं देवः  इति विग्रहवाक्ये  सह सुपा  इत्यनेन अव्यर्थाभाव समास']
पूर्वदेव,['`पूर्वदेवः  इति रूपं सिध्यति ।']
पूर्वदेव,"['`पूर्वे च स देवः इति विग्रहवाक्ये,  पूर्वापरप्रथमचरमघन्यसमानमध्यमध्यम वीरश्च']"
पूर्वदेव,['इत्यनेन बहुर्व्रीहि समास सूत्रेण समासत्वात् पूर्वदेवः इति रूपं सिध्यति ।']
पूर्वदेव,['पूर्वे देवः यस्मात् `सः  इति विग्रहवाक्ये  अनेकमन्यपदार्थे  2 2 24']
सुरद्विष्,['प्रत्यये सुरद्विषः इति रूपं सिध्यते ।']
सुरद्विष्,['भिदच्छिदजिनीराजामुपसर्गे।़पि क्विप्   3 2 61  इत्यनेन सूत्रेण क्विप्']
सुरद्विष्,['सुर उपपदे पूर्वक द्विष अप्रीतौ इति धातोः सत्सूद्विषद्रुहदुहयुजविद']
सर्वज्ञ,"['इत्यनेन सूत्रेण `क  प्रत्यये, सर्वज्ञ इति रूपं सिध्यति ।']"
सर्वज्ञ,"['सर्वशब्दोत्पपदात्, `ज्ञा अवबोधने  इति धातोः इगुपधज्ञाप्रीकिरः कः  3 1 135  ।']"
सर्वज्ञ,"['`कः  प्रत्यये, `सर्वज्ञ  इति रूपं भवति ।']"
सर्वज्ञ,['सर्वं उपपदपूर्वक ज्ञा धातोः  आतो।़नुपसर्गे   3 2 3  । इत्यनेन सूत्रेण']
बुद्ध,"[' अर्श आदिभ्यो।़च्   5 2 27  इत्यनेन सूत्रेण अच् प्रत्यये, बुद्ध इति']"
बुद्ध,['बुध्यते इति बुद्धः इत्यस्मिन् अर्थे ।']
बुद्ध,['रूपं भवति ।']
धर्मराज,['`अच्  प्रत्यये धर्मराजः इति रूपं भवति ।']
धर्मराज,['टच् प्रत्यये धर्मराज इति रूंप भवति ।']
धर्मराज,"['धर्मश्चासौ राजा च  इति विग्रहवाक्ये,  राजाहः सखिभ्याष्टच्   5 4 92  इत्यनेन']"
धर्मराज,"['धर्मस्य राजा इति विग्रहवाक्ये,  राजाहः सखिभ्याष्टच्   5 4 91  इत्यनेन तत्पुरुष']"
धर्मराज,"['धर्मेण राजते इति विग्रहवाक्ये,  पचाद्यच्   3 2 134  इत्यनेन सूत्रेण']"
धर्मराज,"['समास सूत्रेण `टच्  प्रत्यये, धर्मराजः इति रूपं भवति ।']"
धर्मराज,['तत्पुरुष समासत्वात् टच् प्रत्यये `धर्मराज  इति रूपं सिध्यति ।']
धर्मराज,"['धर्मस्य राजा इति विग्रहे, `राजाहः सखिभ्यष्टच्   5 4 91  इत्यनेन सूत्रेण']"
तथागत,['`तथागतः  इति रूपं सिध्यति ।']
तथागत,['तथा गतं अस्य इति विग्रहवाक्यं  सुपा   2 1 4  इत्यनेन सूत्रेण समासत्वात्']
समन्तभद्र,['समन्तं भद्रं अस्य इति विग्रह वाक्ये  सुपा   2 1 4  इत्यनेन सूत्रेण']
समन्तभद्र,['समासत्वात्  समन्दभद्र  इति रूपं सिध्यति ।']
भगवत्,"['`भगो अस्य अस्ति  इति विग्रह वाक्ये,  तदस्यास्तस्मिन्निति मतुप्   5 2 94']"
भगवत्,"['इत्यनेन सूत्रेण मतुप् प्रत्यये,  मादुपधायाश्च मतोर्वो।़यवादिभ्यः  8 2 9  इत्यनेन']"
भगवत्,['मकारस्य वकारे च `भगवान्  इति रूपं सिध्यति ।']
मारजित्,[' ह्रस्वस् पीति किति तुक्   6 2 71  इत्यनेन सूत्रेण तुगागमे च `मारजित्  इति']
मारजित्,['मारं जयति इत्यस्मिन्नर्थे `जि  धातोः सत्सूद्विषद्रुहदुहयुजविदभिदजिनी']
मारजित्,"['राजामुपत्सर्गे।़पि `क्विप्   3 2 62  इत्यनेन सूत्रेण `क्विप्  प्रत्यये,']"
मारजित्,['रूपं सिध्यति ।']
लोकजित्,['किति तुक्  इत्यनेन सूत्रेण तुगागमे च `लोकाजित्  इति रूपं सिध्यति ।']
लोकजित्,"['मुपसर्गे।़पि क्विप्   3 2 61  इत्यनेन सूत्रेण क्विप् प्रत्यये,  ह्रस्वस्य पिति']"
लोकजित्,['लोकं जयति इत्यस्मिन् अर्थे `जि  धातोः  सत्सूद्विषद्रुहदुहयुजविदभिदजिनीराजा']
जिन,['जि जये इति धात्वर्थ  इण्\u200cषिञ्\u200cजिदीङ्ष्यर्विभ्यो नक्   उ.3 2  इत्यनेनं']
जिन,['सूत्रेण `नक्  प्रत्यये `जिन  इति रूपं सिध्यति ।']
षडभिज्ञ,['बहुव्रीहिसमासत्वात् `षडभिज्ञा  इति रूपं सिध्यति ।']
षडभिज्ञ,['षट् अभिज्ञाः यस्य सः इति विग्रहवाक्ये  शेषो बहुव्रीहिः   2 2 23  इत्यनेन']
दशबल,['अधिकार सूत्रेण समासत्वात् दशबल इति रूंप सिध्यति ।']
दशबल,['दश बलानि यस्य सः इति विग्रह वाक्ये  शेषो बहुव्रीहिः  2 2 23  इत्यनेन']
अद्वयवादिन्,"[' 3 3 140  इत्यनेन सुत्रेण `णिनिः  प्रत्यये, अद्वयवादिन् इति रूपं भवति ।']"
अद्वयवादिन्,"['वदतीति वादः, अद्वयं वदति अवश्यं इत्यर्थे  आवश्यक धर्मर्ण्ययोर्णिनिः']"
विनायक,"[' 3 2 133  इत्यनेन सूत्रेण ण्वुल् प्रत्यये,  युवोरनाकौ   7 1 1  इत्यनेन सूत्रेण']"
विनायक,['अक् आदेशे `विनायकं इति रूपं सिध्यति ।']
विनायक,['विनयति अनुशास्ति इत्यस्मिन् अर्थे']
विनायक,"['`अक  प्रत्यये, तद्धितेष्वचामादे  इत्यनेन सूत्रेण आदिवृद्धौ, विनायक इति रूपं भवति ।']"
विनायक,"['इत्यनेन सूत्रेण ण्वुल्, तद्धितेष्वचामादेः  युवोरनाकौ   7 1 1  इत्यनेन सूत्रेण']"
विनायक,"['विगतो नायकः यस्य इति विग्रहे, अनेकमन्यपदार्थे  2 2 24  इत्यनेन सूत्रेण']"
विनायक,"['विनयतीत्यर्थे, वि उपसर्ग पूर्वक नय धातोः  ण्वुल्\u200cतृचौ   3 1 133']"
विनायक,['समासत्वात् विनायक इति रूपं सिध्यति ।']
मुनीन्द,['`मुनिषु इन्द्रः  इति विग्रह वाक्ये `सप्तमी शैण्डैः   2 1 80  इत्यनेन']
मुनीन्द,['`मुनीनां इन्द्र  इति विग्रह वाक्ये  षष्ठी   2 2 8  इत्यनेन तत्पुरुष']
मुनीन्द,['तत्पुरुष समास सूत्रेण समासत्वात् `मुनीन्द्र  इति रूंप सिध्यति ।']
मुनीन्द,['समासं सूत्रेण समासत्वात् `मुनीन्द्र  इति रूंप सिध्यति ।']
श्रीघन,[' 8 4 39  इत्यनेन प्रातिपदिकान्तत्वात् णत्वं न भवति ।']
श्रीघन,"['तत्पुरुष समास सूत्रेण समासत्वात्, `श्रीघन  इति रूपं सिध्यति ।  क्षुभ्नादिषु च']"
श्रीघन,"['श्रिया घनः इति विग्रहवाक्ये,  तृतीया तत्कृतार्थेन गुणवचनेन   2 1 29  इत्यनेन']"
शास्तृ,"[' उ.2 94  इत्यनेन सूत्रेण तृच् प्रत्यये, सुबुत्पत्तौ, `शास्ता  इति रूपं सिध्यति ।']"
शास्तृ,['शानु अनुशिष्टौ इति धातोः  तृन्तृचौ शंसिक्षदादिभ्यः संज्ञायां चानिटौ']
मुनि,"[' 6 4 220  इत्यनेन सत्रेण `उत्  प्रत्यये च, सुबुत्पत्तौ, `मुनि  इति रूपं सिध्यति ।']"
मुनि,"['मनुते इति शब्दात्  मनेरुच्च  उ.4 123  इत्यनेन इन् प्रत्यये,  अत उत्सार्वधातुके']"
शाक्यमुनि,[' 1 2 42  इत्यनेन सूत्रेण समासत्वात् `शाक्यमुनि  इति रूपं सिध्यति ।']
शाक्यमुनि,['`यत्  प्रत्यये शाक्य इति रूपं भवति ।  शाक्तश्चासौ मुनिश्च  इति स्थिते  तत्पुरुषः']
शाक्यमुनि,['`शको।़भिजनो।़स्य  इत्यस्मिन् अर्थे  शाण्डिकादिभ्योञ्यः   4 3 92  इत्यनेन']
शाक्यमुनि,"['`शाक्यश्चासौ मुनिश्च  इति विग्रहवाक्ये,  तत्पुरुषः समानाधिकरणः कर्मधारयः']"
शाक्यमुनि,['आदिवृद्धौ च शाक्य इति रूपं सिध्यति ।']
शाक्यमुनि,['शाके भवः इत्यस्मिन् अर्थे  दिगादिभ्यो यत्   4 3 54  इत्यनेन सूत्रेण']
शाक्यमुनि,['समानाधिकरणः कर्मधारयः   1 2 42  इत्यनेन समासत्वात् शाक्यमुनि इति रूपम् ।']
शाक्यसिंह,[' 2 1 56  इत्यनेन उपमानोत्तरपद कर्मधारय समासत्वात् `शाक्यसिंह  इति रूपं सिध्यति ।']
शाक्यसिंह,['`शाक्यः सिंहः इव  इति विग्रहवाक्ये  उपमितं व्याघ्रादिभि सामान्याप्योगे']
सर्वार्थसिद्ध,['इत्यनेन तत्पुरुष समास सूत्रेण समासत्वात्  सर्वार्थसिद्धः  इति रूपं भवति ।']
सर्वार्थसिद्ध,"['सर्वार्थेषु सिद्धः इति विग्रहवाक्ये,  सिद्धशुष्कपक्वबन्धैश्च   2 1 41']"
शौद्धोदनि,"[' 4 1 95  इत्यनेन सूत्रेण `इञ्  प्रत्यये, सुबुत्पत्तौ, शौद्धोदनिः इति रूपं सिध्यति ।']"
शौद्धोदनि,"[' तद्धितेष्वचामादेः   7 2 117  इत्यनेन सूत्रेण अपत्यार्थे आदिवृद्धौ,  अत इञ्']"
शौद्धोदनि,"['इत्यनेन पररूपं, शुद्धोदन इति रूपं सिध्यति । `शुद्धोदनस्य अपत्यं पुमान्  इति स्थिते']"
शौद्धोदनि,"['शुद्धं ओदनं अस्य इति स्थिते,  शकन्ध्वादिषु पररूपं वाच्यं  वा. 6 1 94']"
गौतम,['`गोतमस्य अयं  इत्यस्मिन् अर्थे `तस्येदम्   4 3 120  इत्यनेन सूत्रेण']
गौतम,['`गौतम  इति रूपं सिध्यति ।']
गौतम,"['इत्यनेन आदिवृद्धौ, गौतम् इति रूपं सिध्यति ।']"
गौतम,['गोतमस्य अपत्यं पुमान् इत्यस्मिन् अर्थे  तद्धितेष्वचामादेः   7 2 117']
अर्कबन्धु,"['अर्कस्य बन्धुः इति विग्रहवाक्ये, षष्ठी  2 2 8  इत्यनेन सूत्रेण तत्पुरुष']"
अर्कबन्धु,"['समासत्वात्, सुबुत्पत्तौ च `अर्कबन्धु  इति रूपं सिध्यति ।']"
मायादेवीसुत,"[' 1 2 42  इत्यनेन सूत्रेण समासत्वात्, मायादेव्याः सुतः इति स्थिते `षष्ठी']"
मायादेवीसुत,"[' 2 2 8  इत्यनेन सूत्रेण समासत्वात् सुबुत्पत्तौ, मायोदेवीसुतः इति रूपं सिध्यति ।']"
मायादेवीसुत,['माया चासौ देवी च इति विग्रह वाक्ये  तत्पुरुष समानाधिकरणः कर्मधारयः']
ब्रह्मन्,"[' 6 1 77  इत्यनेन ऋकारस्य रेफे, `ब्रह्म  इति रूपं सिध्यति ।']"
ब्रह्मन्,['`बृहि वृद्धौ  इति धातोः  सार्वधातुभ्यो मनिन्   उ. इत्यनेन सूत्रेण `मनिन्']
ब्रह्मन्,"['प्रत्यये,  बृंहेनो।़च्च   उ. 4 146  इत्यनेन सूत्रेण नकारस्य आकारे,  इकोयणचि']"
आत्मभू,"['आत्मन् शब्दात् भू सत्तायां इति धातोः,  भुवः संज्ञान्तरयोः  3 2 179']"
आत्मभू,"['इत्यनेन सूत्रेण क्विप् प्रत्यये, `आत्मभू  इति रूपं सिध्यति ।']"
आत्मभू,"['आत्मन शब्दात् `भू सत्तायां  इति धातोः,  भुः संज्ञान्तरयोः   3 2 179']"
